Gateway URL, Gateway-URL
Please enter valid threema nos, Bitte geben Sie gültige Threema-Nummern ein
Secret, Geheimnis
Send Message, Nachricht senden
Sent At, Gesendet am
This is not a valid identity nor phone number nor email:, Dies ist weder eine gültige Identität noch eine Telefonnummer noch eine E-Mail:
Threema, Threema
Threema Center, Threema-Zentrum
Threema Message Log, Threema-Nachrichtenprotokoll
Threema Message sent to : {0}, Threema-Nachricht gesendet an: {0}
Threema Settings, Threema-Einstellungen
